census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
93562159,36.125,83624,0.032,0.018941868060091443,3.3946666666666667,16639,40.695498,-78.448137                                                                                                                                                  ,46.8,35101.0,1531,Outdoors & Adventure
2022284726,780.809,125288775,48.374,0.20492703593284167,3.5878347707671363,98331,47.777349,-124.191674                                                                                                                                         ,37.3,35730.0,6373,Tech
20074795,7.751,0,0.,0.8502577319587629,3.955508043168397,70814,30.485173,-91.068002                                                                                                                                                          ,33.3,49315.0,15520,Career & Business
114584197,44.241,145877,0.056,0.020783479571036077,4.482448879487415,15642,40.318382,-79.723736                                                                                                                                                ,44.2,67266.0,45132,Socializing
82765646,31.956,228226,0.088,0.04739336492890995,4.5771428571428565,95345,37.583767,-119.976728                                                                                                                                                ,46.5,51806.0,422,Others
2730588,1.054,12397,0.005,0.0,6.288135593220339,02791,41.528538,-71.078091                                                                                                                                                    ,65.2,91029.0,177,Outdoors & Adventure
195021395,75.298,199083,0.077,0.053395399780941946,3.2723880597014925,37338,35.429787,-85.209519                                                                                                                                                ,36.4,31386.0,3652,Outdoors & Adventure
331186518,127.872,1202790,0.464,0.1848235458222904,3.0147188049209137,35961,34.303952,-85.846214                                                                                                                                              ,38.2,35313.0,7169,Socializing
135979649,52.502,403729,0.156,0.21974945762474632,3.321159420289855,97071,45.134191,-122.826487                                                                                                                                               ,33.7,43666.0,28578,Socializing
154713250,59.735,2018305,0.779,0.041533546325878586,3.6631788739412063,03785,44.043523,-71.912219                                                                                                                                               ,43.4,41027.0,2817,Outdoors & Adventure
90581509,34.974,8151335,3.147,0.02177293934681182,4.244421906693712,03836,43.842037,-71.075112                                                                                                                                                ,53.5,51750.0,1286,Outdoors & Adventure
4972252,1.92,0,0.,0.8122677484787019,2.940374870861416,90006,34.048041,-118.294177                                                                                                                                                           ,33.6,31521.0,61625,Socializing
88829778,34.297,647216,0.25,0.2999021070296476,4.466389413988658,30519,34.087409,-83.945058                                                                                                                                                  ,36.1,71693.0,42904,Socializing
4650151,1.795,0,0.,0.4008772649012052,4.206403844904852,10310,40.632648,-74.116148                                                                                                                                                           ,34.7,68080.0,24394,Tech
271799181,104.942,458310,0.177,0.02461103253182461,4.097728246892413,67039,37.527668,-96.97429                                                                                                                                                ,39.0,64958.0,3535,Tech
525088683,202.738,831577,0.321,0.1056701030927835,3.870967741935484,58461,46.652232,-98.1953                                                                                                                                                 ,53.2,52143.0,388,Career & Business
98194456,37.913,285300,0.11,0.06584421173432793,3.465006729475101,78052,29.203679,-98.776694                                                                                                                                                  ,37.3,65542.0,6971,Others
35709624,13.788,569125,0.22,0.35944780987884434,4.765966530054644,27282,35.988957,-79.928282                                                                                                                                                  ,41.6,65603.0,17168,Socializing
57396992,22.161,9331815,3.603,0.23555437806331966,4.552857772553629,32955,28.296697,-80.725043                                                                                                                                                ,45.3,60995.0,37745,Socializing
